2026-06-29 13:37:25 | DEBUG    | utils.logger                   | Logging initialized — file: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\logs\visionpulse.log, level: DEBUG
2026-06-29 13:37:25 | INFO     | __main__                       | ============================================================
2026-06-29 13:37:25 | INFO     | __main__                       | VisionPulse Dashboard — Starting
2026-06-29 13:37:25 | INFO     | __main__                       | ============================================================
2026-06-29 13:37:25 | INFO     | __main__                       | Stylesheet loaded: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\assets\styles\dark_theme.qss
2026-06-29 13:37:26 | INFO     | ui.dashboard                   | Dashboard window initialized
2026-06-29 13:37:27 | INFO     | __main__                       | Application window shown — entering event loop
2026-06-29 13:37:30 | DEBUG    | matplotlib                     | matplotlib data path: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\venv\lib\site-packages\matplotlib\mpl-data
2026-06-29 13:37:30 | DEBUG    | matplotlib                     | CONFIGDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:37:30 | DEBUG    | matplotlib                     | interactive is False
2026-06-29 13:37:30 | DEBUG    | matplotlib                     | platform is win32
2026-06-29 13:37:31 | DEBUG    | matplotlib                     | CACHEDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:37:31 | DEBUG    | matplotlib.font_manager        | Using fontManager instance from C:\Users\jasme\.matplotlib\fontlist-v390.json
2026-06-29 13:37:31 | INFO     | models.detector                | Loading YOLO model: yolov8n.pt
2026-06-29 13:37:31 | INFO     | models.detector                | Model loaded successfully — device: auto
2026-06-29 13:37:31 | INFO     | ui.dashboard                   | Model loaded: YOLOv8 (yolov8n.pt)
2026-06-29 13:37:39 | DEBUG    | utils.logger                   | Logging initialized — file: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\logs\visionpulse.log, level: DEBUG
2026-06-29 13:37:39 | INFO     | __main__                       | ============================================================
2026-06-29 13:37:39 | INFO     | __main__                       | VisionPulse Dashboard — Starting
2026-06-29 13:37:39 | INFO     | __main__                       | ============================================================
2026-06-29 13:37:39 | INFO     | __main__                       | Stylesheet loaded: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\assets\styles\dark_theme.qss
2026-06-29 13:37:40 | INFO     | ui.dashboard                   | Dashboard window initialized
2026-06-29 13:37:40 | INFO     | __main__                       | Application window shown — entering event loop
2026-06-29 13:37:42 | DEBUG    | matplotlib                     | matplotlib data path: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\venv\lib\site-packages\matplotlib\mpl-data
2026-06-29 13:37:42 | DEBUG    | matplotlib                     | CONFIGDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:37:42 | DEBUG    | matplotlib                     | interactive is False
2026-06-29 13:37:42 | DEBUG    | matplotlib                     | platform is win32
2026-06-29 13:37:42 | DEBUG    | matplotlib                     | CACHEDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:37:42 | DEBUG    | matplotlib.font_manager        | Using fontManager instance from C:\Users\jasme\.matplotlib\fontlist-v390.json
2026-06-29 13:37:43 | INFO     | models.detector                | Loading YOLO model: yolov8n.pt
2026-06-29 13:37:43 | INFO     | models.detector                | Model loaded successfully — device: auto
2026-06-29 13:37:43 | INFO     | ui.dashboard                   | Model loaded: YOLOv8 (yolov8n.pt)
2026-06-29 13:37:44 | INFO     | ui.dashboard                   | Starting webcam stream
2026-06-29 13:37:44 | INFO     | workers.video_worker           | Worker thread started — source: SourceType.CAMERA
2026-06-29 13:37:44 | INFO     | services.camera_service        | Opening camera device 0 …
2026-06-29 13:37:45 | ERROR    | services.camera_service        | Failed to open camera device 0
2026-06-29 13:37:45 | INFO     | workers.video_worker           | Worker thread finished
2026-06-29 13:37:45 | ERROR    | ui.dashboard                   | Worker error: Could not open webcam.

Please check that a camera is connected and not in use by another application.
2026-06-29 13:37:45 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:37:45 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:38:24 | INFO     | ui.dashboard                   | Loading video: C:/Users/jasme/Downloads/188613-883402208.mp4
2026-06-29 13:38:24 | INFO     | workers.video_worker           | Worker thread started — source: SourceType.FILE
2026-06-29 13:38:24 | INFO     | services.video_service         | Opening video file: C:\Users\jasme\Downloads\188613-883402208.mp4
2026-06-29 13:38:24 | INFO     | services.video_service         | Video opened — 660 frames, 24.0 FPS, 1920×1080
2026-06-29 13:39:32 | INFO     | services.video_service         | Video playback ended: C:\Users\jasme\Downloads\188613-883402208.mp4
2026-06-29 13:39:32 | INFO     | workers.video_worker           | Video file playback complete
2026-06-29 13:39:32 | INFO     | services.video_service         | Video file released: C:\Users\jasme\Downloads\188613-883402208.mp4
2026-06-29 13:39:32 | INFO     | workers.video_worker           | Worker thread finished
2026-06-29 13:39:32 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:39:32 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:39:46 | INFO     | ui.dashboard                   | Application closing — shutting down worker
2026-06-29 13:39:46 | INFO     | __main__                       | Application exited with code 0
2026-06-29 13:40:26 | DEBUG    | utils.logger                   | Logging initialized — file: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\logs\visionpulse.log, level: DEBUG
2026-06-29 13:40:26 | INFO     | __main__                       | ============================================================
2026-06-29 13:40:26 | INFO     | __main__                       | VisionPulse Dashboard — Starting
2026-06-29 13:40:26 | INFO     | __main__                       | ============================================================
2026-06-29 13:40:26 | INFO     | __main__                       | Stylesheet loaded: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\assets\styles\dark_theme.qss
2026-06-29 13:40:27 | INFO     | ui.dashboard                   | Dashboard window initialized
2026-06-29 13:40:28 | INFO     | __main__                       | Application window shown — entering event loop
2026-06-29 13:40:31 | DEBUG    | matplotlib                     | matplotlib data path: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\venv\lib\site-packages\matplotlib\mpl-data
2026-06-29 13:40:31 | DEBUG    | matplotlib                     | CONFIGDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:40:31 | DEBUG    | matplotlib                     | interactive is False
2026-06-29 13:40:31 | DEBUG    | matplotlib                     | platform is win32
2026-06-29 13:40:31 | DEBUG    | matplotlib                     | CACHEDIR=C:\Users\jasme\.matplotlib
2026-06-29 13:40:31 | DEBUG    | matplotlib.font_manager        | Using fontManager instance from C:\Users\jasme\.matplotlib\fontlist-v390.json
2026-06-29 13:40:31 | INFO     | models.detector                | Loading YOLO model: yolov8n.pt
2026-06-29 13:40:31 | INFO     | models.detector                | Model loaded successfully — device: auto
2026-06-29 13:40:31 | INFO     | ui.dashboard                   | Model loaded: YOLOv8 (yolov8n.pt)
2026-06-29 13:40:57 | INFO     | ui.dashboard                   | Starting webcam stream
2026-06-29 13:40:57 | INFO     | workers.video_worker           | Worker thread started — source: SourceType.CAMERA
2026-06-29 13:40:57 | INFO     | services.camera_service        | Opening camera device 0 …
2026-06-29 13:40:57 | ERROR    | services.camera_service        | Failed to open camera device 0
2026-06-29 13:40:57 | INFO     | workers.video_worker           | Worker thread finished
2026-06-29 13:40:57 | ERROR    | ui.dashboard                   | Worker error: Could not open webcam.

Please check that a camera is connected and not in use by another application.
2026-06-29 13:40:57 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:40:57 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:41:09 | INFO     | ui.dashboard                   | Starting webcam stream
2026-06-29 13:41:09 | INFO     | workers.video_worker           | Worker thread started — source: SourceType.CAMERA
2026-06-29 13:41:09 | INFO     | services.camera_service        | Opening camera device 0 …
2026-06-29 13:41:09 | ERROR    | services.camera_service        | Failed to open camera device 0
2026-06-29 13:41:09 | INFO     | workers.video_worker           | Worker thread finished
2026-06-29 13:41:09 | ERROR    | ui.dashboard                   | Worker error: Could not open webcam.

Please check that a camera is connected and not in use by another application.
2026-06-29 13:41:09 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:41:09 | INFO     | ui.dashboard                   | Worker finished
2026-06-29 13:41:11 | INFO     | ui.dashboard                   | Application closing — shutting down worker
2026-06-29 13:41:11 | INFO     | __main__                       | Application exited with code 0
2026-06-29 13:41:29 | DEBUG    | utils.logger                   | Logging initialized — file: C:\Users\jasme\OneDrive\Documents\VisionPulseDashboard\logs\visionpulse.log, level: DEBUG
2026-06-29 13:41:29 | INFO     | __main__                       | ============================================================
2026-06-29 13:41:29 | INFO     | __main__                       | VisionPulse Dashboard — Starting
2026-06-29 13:41:29 | INFO     | __main__                       | ============================================================
